question_id,orientation,custom_id,randomization_seed,A_condition,B_condition,context_hash,retrieval_package_path,judge_model,prompt_version,rubric_version,raw_winner,decoded_winner,raw_judge_response_text,parse_error,status_code,request_id,response_id,usage_json,normalized_at,source_raw_judgments_path,source_run_order,parse_ok
Q001,original,pairwise_graphrag_qwen_vs_mini::Q001::original,20260706:Q001:pairwise_graphrag_qwen_vs_mini,qwen3_8b_igkf,gpt_5_4_mini_igkf,8220197154522906dc58555aa7a9725fdec0dabefa50e2d5d7aba810f144ffa5,evaluation/outputs/retrieval_packages/Q001.json,gpt-5.5-2026-04-23,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,B,MINI,"{""winner"":""B""}",,200,be41c0c4-d3e2-426c-9ec8-c4251ed88048,resp_0e96be9a9cf87cbe006a4d67b04ca08193888f4ced8c6bf527,"{""input_tokens"": 2531, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 154, ""output_tokens_details"": {""reasoning_tokens"": 143}, ""total_tokens"": 2685}",2026-07-07T21:18:12.553436+00:00,evaluation/outputs/pairwise_judge/batch_6a4d669d1a248190b5d7a8a9ccba0755_raw_pairwise_judgments.csv,0,True
Q001,reversed,pairwise_graphrag_qwen_vs_mini::Q001::reversed,20260706:Q001:pairwise_graphrag_qwen_vs_mini,gpt_5_4_mini_igkf,qwen3_8b_igkf,8220197154522906dc58555aa7a9725fdec0dabefa50e2d5d7aba810f144ffa5,evaluation/outputs/retrieval_packages/Q001.json,gpt-5.5-2026-04-23,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,A,MINI,"{""winner"":""A""}",,200,32ed5446-8746-44e4-956d-afa656b9989d,resp_02e59b6637ad541e006a4d66fa04fc8193b8f9b89d3bfe4fe5,"{""input_tokens"": 2531, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 127, ""output_tokens_details"": {""reasoning_tokens"": 116}, ""total_tokens"": 2658}",2026-07-07T21:18:12.553470+00:00,evaluation/outputs/pairwise_judge/batch_6a4d669d1a248190b5d7a8a9ccba0755_raw_pairwise_judgments.csv,0,True
Q002,original,pairwise_graphrag_qwen_vs_mini::Q002::original,20260706:Q002:pairwise_graphrag_qwen_vs_mini,gpt_5_4_mini_igkf,qwen3_8b_igkf,bddae3ee4534c5defc62493a82872a39fc50d4bc81c801459b102d02b016074a,evaluation/outputs/retrieval_packages/Q002.json,gpt-5.5-2026-04-23,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,A,MINI,"{""winner"":""A""}",,200,79877b9d-5fa9-4cd1-b1f8-c744f11caea2,resp_067129f3de8fe2c1006a4d66fed59081959090634258836ed4,"{""input_tokens"": 2258, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 169, ""output_tokens_details"": {""reasoning_tokens"": 158}, ""total_tokens"": 2427}",2026-07-07T21:18:12.553493+00:00,evaluation/outputs/pairwise_judge/batch_6a4d669d1a248190b5d7a8a9ccba0755_raw_pairwise_judgments.csv,0,True
Q002,reversed,pairwise_graphrag_qwen_vs_mini::Q002::reversed,20260706:Q002:pairwise_graphrag_qwen_vs_mini,qwen3_8b_igkf,gpt_5_4_mini_igkf,bddae3ee4534c5defc62493a82872a39fc50d4bc81c801459b102d02b016074a,evaluation/outputs/retrieval_packages/Q002.json,gpt-5.5-2026-04-23,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,B,MINI,"{""winner"":""B""}",,200,319021b5-3f9b-40c3-87ff-ec979117b112,resp_05f10d2f3b991eae006a4d67035a1c819487633ef1cb7bdb95,"{""input_tokens"": 2258, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 97, ""output_tokens_details"": {""reasoning_tokens"": 86}, ""total_tokens"": 2355}",2026-07-07T21:18:12.553526+00:00,evaluation/outputs/pairwise_judge/batch_6a4d669d1a248190b5d7a8a9ccba0755_raw_pairwise_judgments.csv,0,True
Q003,original,pairwise_graphrag_qwen_vs_mini::Q003::original,20260706:Q003:pairwise_graphrag_qwen_vs_mini,gpt_5_4_mini_igkf,qwen3_8b_igkf,9abd483f768c42239311f4b4682cbafbb8cf46b8c7c34b9a196118a347dc55c6,evaluation/outputs/retrieval_packages/Q003.json,gpt-5.5-2026-04-23,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,A,MINI,"{""winner"":""A""}",,200,93e331bc-e278-4132-9dfe-6bd3f5559dda,resp_05bdc9af15f58c51006a4d6706c5448194ad33d3df75801715,"{""input_tokens"": 3129, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 32, ""output_tokens_details"": {""reasoning_tokens"": 21}, ""total_tokens"": 3161}",2026-07-07T21:18:12.553543+00:00,evaluation/outputs/pairwise_judge/batch_6a4d669d1a248190b5d7a8a9ccba0755_raw_pairwise_judgments.csv,0,True
Q003,reversed,pairwise_graphrag_qwen_vs_mini::Q003::reversed,20260706:Q003:pairwise_graphrag_qwen_vs_mini,qwen3_8b_igkf,gpt_5_4_mini_igkf,9abd483f768c42239311f4b4682cbafbb8cf46b8c7c34b9a196118a347dc55c6,evaluation/outputs/retrieval_packages/Q003.json,gpt-5.5-2026-04-23,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,B,MINI,"{""winner"":""B""}",,200,8b1f2e1f-7bb5-401e-8138-7d8d5ab9dc23,resp_0cceee836c38d96d006a4d6709fe8081948e91c53679ffab78,"{""input_tokens"": 3129, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 48, ""output_tokens_details"": {""reasoning_tokens"": 37}, ""total_tokens"": 3177}",2026-07-07T21:18:12.553559+00:00,evaluation/outputs/pairwise_judge/batch_6a4d669d1a248190b5d7a8a9ccba0755_raw_pairwise_judgments.csv,0,True
Q004,original,pairwise_graphrag_qwen_vs_mini::Q004::original,20260706:Q004:pairwise_graphrag_qwen_vs_mini,gpt_5_4_mini_igkf,qwen3_8b_igkf,8f81f99f250fe2bff2ee9ebe124965df8ec1e013561a60f47e53a6c41ea47a83,evaluation/outputs/retrieval_packages/Q004.json,gpt-5.5-2026-04-23,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,A,MINI,"{""winner"":""A""}",,200,b568f1e0-1df4-4d61-80ef-f05870659262,resp_0fb8301fe3128084006a4d670e65348190b2ad9fd22efdda0c,"{""input_tokens"": 2570, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 271, ""output_tokens_details"": {""reasoning_tokens"": 260}, ""total_tokens"": 2841}",2026-07-07T21:18:12.553577+00:00,evaluation/outputs/pairwise_judge/batch_6a4d669d1a248190b5d7a8a9ccba0755_raw_pairwise_judgments.csv,0,True
Q004,reversed,pairwise_graphrag_qwen_vs_mini::Q004::reversed,20260706:Q004:pairwise_graphrag_qwen_vs_mini,qwen3_8b_igkf,gpt_5_4_mini_igkf,8f81f99f250fe2bff2ee9ebe124965df8ec1e013561a60f47e53a6c41ea47a83,evaluation/outputs/retrieval_packages/Q004.json,gpt-5.5-2026-04-23,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,B,MINI,"{""winner"":""B""}",,200,fa011e45-cb02-4324-9a54-b95a7a1fbb47,resp_06c5098ccdaefd1b006a4d6714fbf88197a721d2523cf8ae0f,"{""input_tokens"": 2570, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 352, ""output_tokens_details"": {""reasoning_tokens"": 341}, ""total_tokens"": 2922}",2026-07-07T21:18:12.553598+00:00,evaluation/outputs/pairwise_judge/batch_6a4d669d1a248190b5d7a8a9ccba0755_raw_pairwise_judgments.csv,0,True
Q005,original,pairwise_graphrag_qwen_vs_mini::Q005::original,20260706:Q005:pairwise_graphrag_qwen_vs_mini,qwen3_8b_igkf,gpt_5_4_mini_igkf,ea2a48135b0d21fdadf1202347b4b89029fd3eeb3a93f94835b7cc6c7b621ad5,evaluation/outputs/retrieval_packages/Q005.json,gpt-5.5-2026-04-23,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,B,MINI,"{""winner"":""B""}",,200,ff88f196-2ef8-42f3-87dd-3ed8dc8fdf19,resp_004cb10bd4848cde006a4d66f9e7a08194ae0ff2929afb6568,"{""input_tokens"": 2407, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 158, ""output_tokens_details"": {""reasoning_tokens"": 147}, ""total_tokens"": 2565}",2026-07-07T21:18:12.553615+00:00,evaluation/outputs/pairwise_judge/batch_6a4d669d1a248190b5d7a8a9ccba0755_raw_pairwise_judgments.csv,0,True
Q005,reversed,pairwise_graphrag_qwen_vs_mini::Q005::reversed,20260706:Q005:pairwise_graphrag_qwen_vs_mini,gpt_5_4_mini_igkf,qwen3_8b_igkf,ea2a48135b0d21fdadf1202347b4b89029fd3eeb3a93f94835b7cc6c7b621ad5,evaluation/outputs/retrieval_packages/Q005.json,gpt-5.5-2026-04-23,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,A,MINI,"{""winner"":""A""}",,200,5bffc97a-d841-400c-ad0e-3d9e85c67801,resp_07d8d58efd7b4923006a4d671c8b6881949075856b603d4584,"{""input_tokens"": 2407, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 104, ""output_tokens_details"": {""reasoning_tokens"": 93}, ""total_tokens"": 2511}",2026-07-07T21:18:12.553632+00:00,evaluation/outputs/pairwise_judge/batch_6a4d669d1a248190b5d7a8a9ccba0755_raw_pairwise_judgments.csv,0,True
